Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
China,"81,008","3,255","71,740","6,013",21-03-2020,12:57
Italy,"47,021","4,032","5,129","37,860",21-03-2020,12:57
Spain,"21,571","1,093","1,588","18,890",21-03-2020,12:57
Iran,"20,610","1,556","7,635","11,419",21-03-2020,12:57
Germany,"19,910",68,180,"19,662",21-03-2020,12:57
USA,"19,774",275,147,"19,352",21-03-2020,12:57
France,"12,612",450,"1,587","10,575",21-03-2020,12:57
S. Korea,"8,799",102,"2,612","6,085",21-03-2020,12:57
Switzerland,"5,616",57,15,"5,544",21-03-2020,12:57
UK,"3,983",177,65,"3,741",21-03-2020,12:57
Netherlands,"2,994",106,2,"2,886",21-03-2020,12:57
Austria,"2,690",7,9,"2,674",21-03-2020,12:57
Belgium,"2,257",37,204,"2,016",21-03-2020,12:57
Norway,"1,994",7,1,"1,986",21-03-2020,12:57
Sweden,"1,639",16,16,"1,607",21-03-2020,12:57
Denmark,"1,255",9,1,"1,245",21-03-2020,12:57
Malaysia,"1,183",4,114,"1,065",21-03-2020,12:57
Canada,"1,087",12,14,"1,061",21-03-2020,12:57
Australia,"1,068",7,46,"1,015",21-03-2020,12:57
Portugal,"1,020",7,5,"1,008",21-03-2020,12:57
Japan,"1,007",35,215,757,21-03-2020,12:57
Brazil,977,11,2,964,21-03-2020,12:57
Czechia,904,,4,900,21-03-2020,12:57
Israel,883,1,36,846,21-03-2020,12:57
Diamond Princess,712,8,567,137,21-03-2020,12:57
Ireland,683,3,5,675,21-03-2020,12:57
Turkey,670,9,,661,21-03-2020,12:57
Pakistan,531,3,13,515,21-03-2020,12:57
Finland,503,,10,493,21-03-2020,12:57
Greece,495,10,19,466,21-03-2020,12:57
Luxembourg,484,5,6,473,21-03-2020,12:57
Qatar,470,,10,460,21-03-2020,12:57
Indonesia,450,38,20,392,21-03-2020,12:57
Poland,439,5,13,421,21-03-2020,12:57
Chile,434,,6,428,21-03-2020,12:57
Ecuador,426,7,3,416,21-03-2020,12:57
Thailand,411,1,42,368,21-03-2020,12:57
Iceland,409,,5,404,21-03-2020,12:57
Singapore,385,2,131,252,21-03-2020,12:57
Saudi Arabia,344,,8,336,21-03-2020,12:57
Slovenia,341,1,,340,21-03-2020,12:57
Romania,308,,31,277,21-03-2020,12:57
Philippines,307,19,13,275,21-03-2020,12:57
Estonia,306,,1,305,21-03-2020,12:57
Bahrain,298,1,125,172,21-03-2020,12:57
Egypt,285,8,42,235,21-03-2020,12:57
India,275,5,23,247,21-03-2020,12:57
Hong Kong,273,4,98,171,21-03-2020,12:57
Peru,263,4,1,258,21-03-2020,12:57
Russia,253,1,12,240,21-03-2020,12:57
South Africa,240,,1,239,21-03-2020,12:57
Iraq,208,17,49,142,21-03-2020,12:57
Mexico,203,2,4,197,21-03-2020,12:57
Panama,200,1,1,198,21-03-2020,12:57
Lebanon,187,4,4,179,21-03-2020,12:57
Kuwait,176,,27,149,21-03-2020,12:57
Croatia,168,1,5,162,21-03-2020,12:57
Armenia,160,,1,159,21-03-2020,12:57
Argentina,158,3,3,152,21-03-2020,12:57
Colombia,158,,1,157,21-03-2020,12:57
Taiwan,153,2,28,123,21-03-2020,12:57
San Marino,151,14,4,133,21-03-2020,12:57
Serbia,149,1,2,146,21-03-2020,12:57
Bulgaria,142,3,3,136,21-03-2020,12:57
UAE,140,2,31,107,21-03-2020,12:57
Slovakia,137,,,137,21-03-2020,12:57
Latvia,124,,1,123,21-03-2020,12:57
Costa Rica,113,2,2,109,21-03-2020,12:57
Uruguay,110,,,110,21-03-2020,12:57
Hungary,103,4,7,92,21-03-2020,12:57
Algeria,94,11,32,51,21-03-2020,12:57
Vietnam,92,,17,75,21-03-2020,12:57
Faeroe Islands,92,,3,89,21-03-2020,12:57
Bosnia and Herzegovina,90,,2,88,21-03-2020,12:57
Morocco,86,3,2,81,21-03-2020,12:57
Jordan,85,,1,84,21-03-2020,12:57
Brunei,83,,1,82,21-03-2020,12:57
North Macedonia,76,,1,75,21-03-2020,12:57
Andorra,75,,1,74,21-03-2020,12:57
Cyprus,75,,,75,21-03-2020,12:57
Sri Lanka,73,,3,70,21-03-2020,12:57
Dominican Republic,72,2,,70,21-03-2020,12:57
Albania,70,2,2,66,21-03-2020,12:57
Lithuania,69,1,1,67,21-03-2020,12:57
Belarus,69,,15,54,21-03-2020,12:57
Moldova,66,1,1,64,21-03-2020,12:57
Venezuela,65,,1,64,21-03-2020,12:57
Malta,64,,2,62,21-03-2020,12:57
Tunisia,54,1,1,52,21-03-2020,12:57
Kazakhstan,53,,,53,21-03-2020,12:57
New Zealand,52,,,52,21-03-2020,12:57
Oman,52,,13,39,21-03-2020,12:57
Palestine,52,,17,35,21-03-2020,12:57
Guadeloupe,51,1,,50,21-03-2020,12:57
Cambodia,51,,1,50,21-03-2020,12:57
Georgia,47,,1,46,21-03-2020,12:57
Senegal,47,,5,42,21-03-2020,12:57
Réunion,45,,,45,21-03-2020,12:57
Azerbaijan,44,1,7,36,21-03-2020,12:57
Ukraine,41,3,1,37,21-03-2020,12:57
Burkina Faso,40,1,4,35,21-03-2020,12:57
Liechtenstein,37,,,37,21-03-2020,12:57
Uzbekistan,37,,,37,21-03-2020,12:57
Martinique,32,1,,31,21-03-2020,12:57
Cameroon,27,,2,25,21-03-2020,12:57
Bangladesh,24,2,3,19,21-03-2020,12:57
Afghanistan,24,,1,23,21-03-2020,12:57
Honduras,24,,,24,21-03-2020,12:57
DRC,23,1,,22,21-03-2020,12:57
Cuba,21,1,,20,21-03-2020,12:57
Jamaica,19,1,2,16,21-03-2020,12:57
Bolivia,19,,,19,21-03-2020,12:57
Ghana,19,,,19,21-03-2020,12:57
Paraguay,18,,,18,21-03-2020,12:57
Macao,17,,10,7,21-03-2020,12:57
Rwanda,17,,,17,21-03-2020,12:57
Guyana,15,1,,14,21-03-2020,12:57
French Guiana,15,,,15,21-03-2020,12:57
French Polynesia,15,,,15,21-03-2020,12:57
Mauritius,14,1,,13,21-03-2020,12:57
Channel Islands,14,,,14,21-03-2020,12:57
Ivory Coast,14,,1,13,21-03-2020,12:57
Guam,14,,,14,21-03-2020,12:57
Montenegro,14,,,14,21-03-2020,12:57
Puerto Rico,14,,,14,21-03-2020,12:57
Maldives,13,,2,11,21-03-2020,12:57
Guatemala,12,1,,11,21-03-2020,12:57
Nigeria,12,,1,11,21-03-2020,12:57
Kyrgyzstan,12,,,12,21-03-2020,12:57
Monaco,11,,,11,21-03-2020,12:57
Gibraltar,10,,2,8,21-03-2020,12:57
Mongolia,10,,,10,21-03-2020,12:57
Ethiopia,9,,,9,21-03-2020,12:57
Togo,9,,,9,21-03-2020,12:57
Trinidad and Tobago,9,,,9,21-03-2020,12:57
Kenya,7,,,7,21-03-2020,12:57
Mayotte,7,,,7,21-03-2020,12:57
Seychelles,7,,,7,21-03-2020,12:57
Barbados,6,,,6,21-03-2020,12:57
Equatorial Guinea,6,,,6,21-03-2020,12:57
Tanzania,6,,,6,21-03-2020,12:57
U.S. Virgin Islands,6,,,6,21-03-2020,12:57
Aruba,5,,1,4,21-03-2020,12:57
Gabon,4,1,,3,21-03-2020,12:57
Bahamas,4,,,4,21-03-2020,12:57
Saint Martin,4,,,4,21-03-2020,12:57
Suriname,4,,,4,21-03-2020,12:57
Cayman Islands,3,1,,2,21-03-2020,12:57
Curaçao,3,1,,2,21-03-2020,12:57
CAR,3,,,3,21-03-2020,12:57
Congo,3,,,3,21-03-2020,12:57
El Salvador,3,,,3,21-03-2020,12:57
Liberia,3,,,3,21-03-2020,12:57
Madagascar,3,,,3,21-03-2020,12:57
Namibia,3,,,3,21-03-2020,12:57
St. Barth,3,,,3,21-03-2020,12:57
Zimbabwe,3,,,3,21-03-2020,12:57
Sudan,2,1,,1,21-03-2020,12:57
Angola,2,,,2,21-03-2020,12:57
Benin,2,,,2,21-03-2020,12:57
Bermuda,2,,,2,21-03-2020,12:57
Bhutan,2,,,2,21-03-2020,12:57
Fiji,2,,,2,21-03-2020,12:57
Greenland,2,,,2,21-03-2020,12:57
Guinea,2,,,2,21-03-2020,12:57
Haiti,2,,,2,21-03-2020,12:57
Isle of Man,2,,,2,21-03-2020,12:57
Mauritania,2,,,2,21-03-2020,12:57
New Caledonia,2,,,2,21-03-2020,12:57
Nicaragua,2,,,2,21-03-2020,12:57
Saint Lucia,2,,,2,21-03-2020,12:57
Zambia,2,,,2,21-03-2020,12:57
Nepal,1,,1,0,21-03-2020,12:57
Antigua and Barbuda,1,,,1,21-03-2020,12:57
Cabo Verde,1,,,1,21-03-2020,12:57
Chad,1,,,1,21-03-2020,12:57
Djibouti,1,,,1,21-03-2020,12:57
Gambia,1,,,1,21-03-2020,12:57
Vatican City,1,,,1,21-03-2020,12:57
Montserrat,1,,,1,21-03-2020,12:57
Niger,1,,,1,21-03-2020,12:57
Papua New Guinea,1,,,1,21-03-2020,12:57
St. Vincent Grenadines,1,,,1,21-03-2020,12:57
Sint Maarten,1,,,1,21-03-2020,12:57
Somalia,1,,,1,21-03-2020,12:57
Eswatini,1,,,1,21-03-2020,12:57
Timor-Leste,1,,,1,21-03-2020,12:57
